(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,406-030-4,105812-81-5,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/8485,http://echa.europa.eu/substance-information/-/substanceinfo/100.100.756
(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,406-030-4,105812-81-5,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/7821,http://echa.europa.eu/substance-information/-/substanceinfo/100.100.756
(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,406-030-4,105812-81-5,Intermediate,Joint,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/17262,http://echa.europa.eu/substance-information/-/substanceinfo/100.100.756
"(1,1'-bis(diphenylphosphino)ferrocene)dichloropalladium",460-040-3,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/2390,http://echa.europa.eu/substance-information/-/substanceinfo/100.104.678
"(1,4-diazabicyclo[2.2.2]octane-2-yl)methanol",692-731-2,76950-43-1,Full,Joint,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/12151,http://echa.europa.eu/substance-information/-/substanceinfo/100.220.930
"(1,5 CYCLOOCTADIEN)RUTHENIUM(II) CHLORID POLYMER",442-400-1,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/2330,http://echa.europa.eu/substance-information/-/substanceinfo/100.103.803
"(1,5-cyclooctadiene)(2,4-pentanedionato)rhodium(I)",456-980-9,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/3130,http://echa.europa.eu/substance-information/-/substanceinfo/100.104.533
(1-3)PEPTIDE,427-530-9,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9517,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.596
(1-benzylindazol-3-yl)methanol,603-485-2,131427-21-9,Intermediate,Joint,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/12733,http://echa.europa.eu/substance-information/-/substanceinfo/100.132.812
(1-Ethoxyethoxy)cyclododecane,446-240-3,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9254,http://echa.europa.eu/substance-information/-/substanceinfo/100.104.054
(1-hydroxydodecylidene)diphosphonic acid,425-230-2,16610-63-2,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/3162,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.369
"(1-hydroxyethylidene)bisphosphonic acid, potassium salt",267-956-0,67953-76-8,Full,Joint,10 - 100 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/2191,http://echa.europa.eu/substance-information/-/substanceinfo/100.061.760
"(1-hydroxyethylidene)bisphosphonic acid, sodium salt",249-559-4,29329-71-3,Full,Joint,10000 - 100000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/15211,http://echa.europa.eu/substance-information/-/substanceinfo/100.045.040
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",256-032-2,42978-66-5,Full,Joint,100000 - 1000000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/15153,http://echa.europa.eu/substance-information/-/substanceinfo/100.050.921
"(1-methylethyl)-1,1'-biphenyl",247-156-8,25640-78-2,Full,Joint,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/10021,http://echa.europa.eu/substance-information/-/substanceinfo/100.042.855
"(1-methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) bismethacrylate",248-607-1,27689-12-9,Full,Joint,0 - 10 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/16429,http://echa.europa.eu/substance-information/-/substanceinfo/100.044.173
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",425-220-8,-,Full,Joint,1000 - 10000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/5460,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.368
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",425-220-8,-,Full,Individual,1000 - 10000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/6592,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.368
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",425-220-8,-,Full,Individual,0 - 10 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/1424,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.368
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",425-220-8,-,Full,Individual,0 - 10 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/8024,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.368
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",425-220-8,-,Full,Individual,10+ tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/15059,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.368
(1-naphthylmethyl)(tetrahydrofuran-2-ylmethyl)malonic acid hydrate (1:1),700-583-8,-,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/6556,http://echa.europa.eu/substance-information/-/substanceinfo/100.214.481
"(10S)-10,11-Dihydro-10-hydroxy-5H-dibenz[b,f]azepine-5-carboxamide",810-248-9,104746-04-5,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/8274,http://echa.europa.eu/substance-information/-/substanceinfo/100.238.322
(17α)-17-hydroxy-3-oxoandrost-4-ene-17-carbonitrile,278-780-9,77881-13-1,Intermediate,Joint,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/12603,http://echa.europa.eu/substance-information/-/substanceinfo/100.071.598
"(1E)-1,3,3,3-tetrahaloprop-1-ene",-,-,Full,Joint,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/10762,http://echa.europa.eu/substance-information/-/substanceinfo/100.149.148
(1E)-3-chloro-N´-sulfamoylpropanimidamide hydrochloride,700-156-6,106649-95-0,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/1080,http://echa.europa.eu/substance-information/-/substanceinfo/100.148.969
(1E)-3-chloro-N´-sulfamoylpropanimidamide hydrochloride,700-156-6,106649-95-0,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/6409,http://echa.europa.eu/substance-information/-/substanceinfo/100.148.969
(1E)-3-chloro-N´-sulfamoylpropanimidamide hydrochloride,700-156-6,106649-95-0,Intermediate,Joint,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/16287,http://echa.europa.eu/substance-information/-/substanceinfo/100.148.969
(1E)-5-methyl-1-phenylhex-1-en-3-one,808-311-0,60796-12-5,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/7639,http://echa.europa.eu/substance-information/-/substanceinfo/100.236.278
(1E)-N-hydroxy-1-(naphthalen-1-yl)ethanimine,700-765-7,100485-51-6,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/7316,http://echa.europa.eu/substance-information/-/substanceinfo/100.220.023
"(1R)-1-((4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl)ethane-1,2-diol",413-110-2,-,Full,Individual,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/7329,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.238
"(1R)-1-((4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl)ethane-1,2-diol",413-110-2,-,Full,Individual,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/7640,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.238
"(1R)-1-((4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl)ethane-1,2-diol",413-110-2,-,Full,Individual,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/7970,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.238
"(1R)-1-((4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl)ethane-1,2-diol",413-110-2,-,Full,Individual,100 - 1000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/8055,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.238
